latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-12.3168,142.0542,311.4,4.2,1.9,2019-09-01,0014,Terra,MODIS,23,6.3,297,40.2,D,0
-12.3407,142.0894,310.2,4.2,1.9,2019-09-01,0014,Terra,MODIS,18,6.3,296.9,33.5,D,0
-12.3266,142.0863,310.1,4.2,1.9,2019-09-01,0014,Terra,MODIS,27,6.3,296.7,36,D,0
-12.6649,142.6015,310.4,3.8,1.8,2019-09-01,0014,Terra,MODIS,35,6.3,298.1,28.2,D,0
-12.8706,142.7663,314.3,3.6,1.8,2019-09-01,0014,Terra,MODIS,56,6.3,299.4,43.5,D,0
-12.4983,142.0457,317.1,4.2,1.9,2019-09-01,0014,Terra,MODIS,58,6.3,298.2,71.9,D,0
-12.878,142.7575,314,3.6,1.8,2019-09-01,0014,Terra,MODIS,40,6.3,299.6,37.7,D,0
-14.0317,143.1786,309.1,3.2,1.7,2019-09-01,0014,Terra,MODIS,43,6.3,296.7,24.2,D,0
-12.3194,142.048,312.2,4.2,1.9,2019-09-01,0014,Terra,MODIS,53,6.3,297.1,48.3,D,0
-12.5011,142.0397,312.2,4.2,1.9,2019-09-01,0014,Terra,MODIS,28,6.3,298.4,39.6,D,0
-14.8639,142.2243,315.3,3.6,1.8,2019-09-01,0014,Terra,MODIS,65,6.3,298.4,49.2,D,0
-15.7442,145.2427,310.3,2.1,1.4,2019-09-01,0014,Terra,MODIS,38,6.3,295.6,18.3,D,0
-12.6587,142.6101,310.6,3.8,1.8,2019-09-01,0014,Terra,MODIS,34,6.3,298.4,27.5,D,0
-16.1022,144.2844,316.2,2.4,1.5,2019-09-01,0015,Terra,MODIS,39,6.3,302.7,20.4,D,0
-21.4355,148.3987,324.1,1.1,1,2019-09-01,0016,Terra,MODIS,76,6.3,304.5,15.1,D,0
-21.4667,148.4144,334.5,1.1,1,2019-09-01,0016,Terra,MODIS,86,6.3,306.5,29,D,0
-22.5852,150.1881,333.1,1,1,2019-09-01,0016,Terra,MODIS,85,6.3,302.7,24.2,D,0
-22.5942,150.1866,322.2,1,1,2019-09-01,0016,Terra,MODIS,74,6.3,302.1,11,D,0
-22.6018,150.1755,319,1,1,2019-09-01,0016,Terra,MODIS,55,6.3,303.9,7.1,D,0
-21.4339,148.3884,316.7,1.1,1,2019-09-01,0016,Terra,MODIS,57,6.3,303.9,6.4,D,0
-26.8099,147.429,334.2,1.1,1,2019-09-01,0017,Terra,MODIS,85,6.3,302.1,27.3,D,0
-27.2066,149.7826,316.5,1,1,2019-09-01,0017,Terra,MODIS,48,6.3,304.4,5.1,D,0
-27.208,149.7929,321.6,1,1,2019-09-01,0017,Terra,MODIS,70,6.3,306.3,9.9,D,0
-27.2171,149.7913,316.6,1,1,2019-09-01,0017,Terra,MODIS,28,6.3,304.9,4.8,D,0
-28.0187,152.52,322.3,1.3,1.1,2019-09-01,0017,Terra,MODIS,72,6.3,297.5,23.5,D,0
-25.3331,145.7317,317.7,1.3,1.1,2019-09-01,0017,Terra,MODIS,43,6.3,305.3,9.9,D,0
-26.3407,147.0398,317.5,1.1,1,2019-09-01,0017,Terra,MODIS,56,6.3,304.9,5.7,D,0
-26.3425,147.0507,323.4,1.1,1,2019-09-01,0017,Terra,MODIS,73,6.3,306.2,11.8,D,0
-27.0006,150.0794,320.8,1,1,2019-09-01,0017,Terra,MODIS,50,6.3,305.6,8.9,D,0
-27.002,150.0898,330.7,1,1,2019-09-01,0017,Terra,MODIS,82,6.3,306.8,20.9,D,0
-27.0112,150.0882,319.2,1,1,2019-09-01,0017,Terra,MODIS,44,6.3,303.6,7.2,D,0
-26.7916,147.4326,382.2,1.1,1,2019-09-01,0017,Terra,MODIS,100,6.3,308.8,164.7,D,0
-26.7932,147.4431,371.4,1,1,2019-09-01,0017,Terra,MODIS,100,6.3,307.7,119.3,D,0
-26.7991,147.4203,323.6,1.1,1,2019-09-01,0017,Terra,MODIS,73,6.3,302.7,14.9,D,0
-26.8007,147.4308,370,1.1,1,2019-09-01,0017,Terra,MODIS,100,6.3,306,115.6,D,0
-26.8024,147.4413,348.6,1,1,2019-09-01,0017,Terra,MODIS,94,6.3,305.1,53.1,D,0
-31.6735,146.5747,317.6,1,1,2019-09-01,0019,Terra,MODIS,67,6.3,301.2,8.5,D,0
-32.4869,148.0701,320.9,1,1,2019-09-01,0019,Terra,MODIS,74,6.3,300.5,11,D,0
-32.6048,147.2392,310,1,1,2019-09-01,0019,Terra,MODIS,40,6.3,297.2,4.7,D,0
-32.6064,147.2499,315,1,1,2019-09-01,0019,Terra,MODIS,64,6.3,297,8.7,D,0
-34.4658,150.8859,309.3,1.3,1.1,2019-09-01,0019,Terra,MODIS,52,6.3,294.9,8.6,D,2
-34.7745,147.9364,301.5,1,1,2019-09-01,0019,Terra,MODIS,40,6.3,291.3,3.7,D,0
-34.776,147.9476,315.2,1,1,2019-09-01,0019,Terra,MODIS,75,6.3,291.9,13.3,D,0
-35.0279,141.2833,314.4,1.6,1.2,2019-09-01,0020,Terra,MODIS,65,6.3,291.4,18.3,D,0
-35.0355,141.2633,312.2,1.6,1.2,2019-09-01,0020,Terra,MODIS,40,6.3,294.1,15.7,D,0
-35.0388,141.2801,316.1,1.6,1.2,2019-09-01,0020,Terra,MODIS,76,6.3,290.2,21.2,D,0
-37.4839,149.6351,303.1,1.2,1.1,2019-09-01,0020,Terra,MODIS,55,6.3,289.8,8.1,D,0
-12.4102,135.5948,319.7,2.9,1.6,2019-09-01,0152,Terra,MODIS,59,6.3,304.1,35.7,D,0
-11.7374,130.2743,327.6,1.2,1.1,2019-09-01,0152,Terra,MODIS,73,6.3,304.8,19.4,D,0
-11.7389,130.285,322,1.2,1.1,2019-09-01,0152,Terra,MODIS,47,6.3,304.4,12,D,0
-11.7486,130.2836,323.4,1.2,1.1,2019-09-01,0152,Terra,MODIS,69,6.3,305.2,14.4,D,0
-12.3625,134.2239,322.1,2.3,1.5,2019-09-01,0152,Terra,MODIS,50,6.3,310.8,24.5,D,0
-12.5352,135.3897,320.4,2.8,1.6,2019-09-01,0152,Terra,MODIS,53,6.3,305.9,32.2,D,0
-12.3728,134.2159,323.7,2.3,1.5,2019-09-01,0152,Terra,MODIS,56,6.3,309.3,29.4,D,0
-12.2393,133.0139,341.8,1.8,1.3,2019-09-01,0152,Terra,MODIS,89,6.3,309.2,86.6,D,0
-12.5375,135.3825,323.4,2.8,1.6,2019-09-01,0152,Terra,MODIS,70,6.3,305.8,48.1,D,0
-12.2694,133.0609,321.8,1.8,1.3,2019-09-01,0152,Terra,MODIS,52,6.3,309.2,17.3,D,0
-12.2715,133.0776,324.7,1.8,1.3,2019-09-01,0152,Terra,MODIS,63,6.3,310.5,24,D,0
-12.4376,134.4212,328.3,2.3,1.5,2019-09-01,0152,Terra,MODIS,77,6.3,309.1,47.8,D,0
-12.4483,134.3981,343.2,2.3,1.5,2019-09-01,0152,Terra,MODIS,90,6.3,310.4,120.4,D,0
-12.4509,134.4196,352.4,2.3,1.5,2019-09-01,0152,Terra,MODIS,96,6.3,310.8,187.3,D,0
-12.4643,134.418,320.2,2.3,1.5,2019-09-01,0152,Terra,MODIS,33,6.3,308.3,16.3,D,0
-12.5715,135.301,320.4,2.8,1.6,2019-09-01,0152,Terra,MODIS,59,6.3,306.3,31.9,D,0
-12.5,133.8674,321.4,2.1,1.4,2019-09-01,0152,Terra,MODIS,41,6.3,305.1,24.7,D,0
-12.5128,133.8655,332.5,2.1,1.4,2019-09-01,0152,Terra,MODIS,82,6.3,304.7,64.9,D,0
-12.6018,134.5727,319.6,2.4,1.5,2019-09-01,0152,Terra,MODIS,58,6.3,308.3,20.1,D,0
-12.5123,133.8587,322.4,2.1,1.4,2019-09-01,0152,Terra,MODIS,42,6.3,303.7,29,D,0
-12.5148,133.8792,327.5,2.1,1.4,2019-09-01,0152,Terra,MODIS,67,6.3,305.8,45,D,0
-12.5959,134.5668,319.9,2.4,1.5,2019-09-01,0152,Terra,MODIS,61,6.3,307.9,20.7,D,0
