latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
-37.48861,149.63156,341.1,0.41,0.6,2019-09-01,0304,N,VIIRS,n,1,293.7,4.4,0
-34.4611,150.88142,328.5,0.33,0.55,2019-09-01,0305,N,VIIRS,l,1,298.5,2.1,2
-33.94823,151.21292,341.1,0.62,0.54,2019-09-01,0305,N,VIIRS,n,1,295.3,6.4,0
-34.45618,150.87723,328.5,0.33,0.55,2019-09-01,0305,N,VIIRS,n,1,298.1,2.1,2
-31.60223,150.15147,367,0.34,0.56,2019-09-01,0306,N,VIIRS,h,1,302.4,19.3,0
-29.26867,149.46602,367,0.35,0.57,2019-09-01,0306,N,VIIRS,h,1,307,13.6,0
-29.26898,149.4623,356.2,0.35,0.57,2019-09-01,0306,N,VIIRS,n,1,309.8,13.6,0
-31.60248,150.14816,355.2,0.34,0.56,2019-09-01,0306,N,VIIRS,n,1,304.9,18.6,0
-29.26928,149.45857,340.6,0.35,0.57,2019-09-01,0306,N,VIIRS,n,1,305.8,4.9,0
-29.34156,148.04869,367,0.43,0.62,2019-09-01,0306,N,VIIRS,h,1,308.9,31.2,0
-32.05619,148.75629,345.3,0.41,0.61,2019-09-01,0306,N,VIIRS,n,1,295.9,5.3,0
-31.39709,149.65176,332.6,0.36,0.57,2019-09-01,0306,N,VIIRS,l,1,302.7,5.5,0
-29.34125,148.05324,350.7,0.43,0.62,2019-09-01,0306,N,VIIRS,n,1,309,18.9,0
-29.33545,148.05276,367,0.43,0.62,2019-09-01,0306,N,VIIRS,h,1,309.4,18.9,0
-30.46836,152.34421,330.9,0.49,0.49,2019-09-01,0306,N,VIIRS,n,1,295.9,2.8,0
-29.33577,148.0482,353.6,0.43,0.62,2019-09-01,0306,N,VIIRS,n,1,316.8,31.2,0
-29.33607,148.04364,352.4,0.43,0.62,2019-09-01,0306,N,VIIRS,n,1,311.4,31.2,0
-32.05493,148.75705,336.3,0.41,0.61,2019-09-01,0306,N,VIIRS,n,1,294.8,5,0
-29.49846,150.19156,341.2,0.32,0.55,2019-09-01,0306,N,VIIRS,n,1,305.8,1.4,0
-29.32997,148.04773,367,0.43,0.62,2019-09-01,0306,N,VIIRS,h,1,309.9,14.7,0
-29.19227,149.68713,337.8,0.34,0.56,2019-09-01,0306,N,VIIRS,n,1,309.5,1,0
-29.26644,149.46655,367,0.35,0.57,2019-09-01,0306,N,VIIRS,h,1,307.5,13.1,0
-29.29462,148.22585,331.4,0.42,0.61,2019-09-01,0306,N,VIIRS,l,1,305.7,1.9,0
-31.60751,150.15147,347.1,0.34,0.56,2019-09-01,0306,N,VIIRS,n,1,304.8,5.2,0
-29.26672,149.46284,356,0.35,0.57,2019-09-01,0306,N,VIIRS,n,1,311,13.1,0
-29.26699,149.45911,335.7,0.35,0.57,2019-09-01,0306,N,VIIRS,l,1,307.9,4.9,0
-27.51415,149.09218,347.9,0.35,0.57,2019-09-01,0307,N,VIIRS,n,1,317,21.5,0
-26.61106,152.50316,332.5,0.43,0.46,2019-09-01,0307,N,VIIRS,n,1,301.1,4.7,0
